,author,statement,source,date,target
0,Samantha Putterman,"Backyard chicken flocks have stopped laying eggs, and the feed is responsible.",Facebook posts,"February 7, 2023",false
1,Warren Fiske,“You know how many children are dying across Virginia because of fentanyl poisoning? A heck of a lot more than are dying at the hands of guns.”,Mark Obenshain,"February 7, 2023",false
2,Madison Czopek,“Pfizer just got caught doing gain of function to mutate covid intentionally for vaccines.”,Instagram posts,"February 6, 2023",false
3,Paul Specht,Diamond and Silk pundit died from COVID-19,Tweets,"February 6, 2023",false
4,Ciara O'Rourke,A vigilante “shot down the Chinese spy balloon in an extraordinary act.”,Instagram posts,"February 6, 2023",false
5,Jeff Cercone,Illinois “received $5.1 billion at an elementary school there that used it for equity and diversity.”,Marjorie Taylor Greene,"February 3, 2023",false
6,Jeff Cercone,"President Joe Biden said, “The idea that we’re going to send in tanks to Ukraine, that’s called World War III.”",Tweets,"February 2, 2023",false
7,Sara Swann,Pregnancy tests include a “hidden Plan B” pill.,Facebook posts,"February 2, 2023",false
8,Loreben Tuquero,"“More classified documents (were) found at the University of Delaware,” the “equivalent of a tractor trailer worth.”",Peggy Hubbard,"February 2, 2023",false
9,Tom Kertscher,"U.S. Rep. Ilhan Omar is ""facing 40 years in prison and deportation after seven new crimes uncovered.""",Facebook posts,"February 2, 2023",false
10,Madison Czopek,The officers who beat Tyre Nichols targeted him because he was “allegedly dating” one of their wives.,Facebook posts,"February 1, 2023",false
11,Louis Jacobson,"“The largest contributor to the debt ceiling, or to our deficit, has been the Trump tax cuts.”",Alexandria Ocasio-Cortez,"February 1, 2023",false
12,Jeff Cercone,"""Doctors say colon cancer is on the rise due to toxins absorbed while cooking food (in) the microwave.”",Instagram posts,"January 31, 2023",false
13,Ciara O'Rourke,Video shows people collapsing because of COVID-19 vaccines.,Viral image,"January 31, 2023",false
14,Ciara O'Rourke,"The government caused a fire at Hillandale Farms in Connecticut “so that they can force us into eating their fake GMO meats, or starve us into compliance.”",Viral image,"January 31, 2023",false
15,Ciara O'Rourke,U.S. Rep. Alexandria Ocasio-Cortez tweeted that Instagram needs to “TERMINATE…a right-wing media page posting CONSERVATIVE content.”,Viral image,"January 31, 2023",false
16,Ciara O'Rourke,“BREAKING GOP approves resolution to expel Omar from Congress! It’s over for her!”,Facebook posts,"January 31, 2023",false
17,Ciara O'Rourke,The Georgia High School Association started issuing a “sudden cardiac arrest awareness form” in the wake of COVID-19 vaccines.,Viral image,"January 31, 2023",false
18,Ciara O'Rourke,Video shows a “man burning the Quran in Sweden.”,Facebook posts,"January 31, 2023",false
19,Ciara O'Rourke,Video shows Congress “erupting” over U.S. Sen. Ted Cruz’s remarks.,Facebook posts,"January 31, 2023",false
20,Amy Sherman,"Same-day voter registration ""does not allow election officials to verify the validity and accuracy of voter information.""",Rick Scott,"January 31, 2023",false
21,Andy Nguyen,Global warming is a “fraud.”,Facebook posts,"January 31, 2023",false
22,Ciara O'Rourke,“Biden smirks while saying he has added more to the debt than any president before him.”,Viral image,"January 31, 2023",false
23,Warren Fiske,Glenn Youngkin is “the first sitting Governor in the modern era to have their party have less legislative seats than when they were elected.”,Louise Lucas,"January 31, 2023",false
24,Ciara O'Rourke,"President Joe Biden said, “To the Ukrainian people, I say to them all, you might you might they they might be able to make right and they’re not able to.”",Viral image,"January 30, 2023",false
25,Ciara O'Rourke,This photo shows former President Donald Trump “last week.”,Viral image,"January 30, 2023",false
26,Jeff Cercone,The amount the U.S. has spent in Ukraine is “double the U.S. expenditure for its own war in Afghanistan.”,Instagram posts,"January 27, 2023",false
27,Ciara O'Rourke,President Joe Biden signed an executive order “making health insurance free for qualifying Americans.”,Facebook posts,"January 27, 2023",false
28,Ciara O'Rourke,“Scientists warn eggs are causing thousands of people to ‘suddenly’ form blood clots.”,Viral image,"January 27, 2023",false
29,Madison Czopek,“The average American has anywhere from 5 to 15 pounds” of stool stuck in their gut.,Facebook posts,"January 27, 2023",false
30,Madison Czopek,“The World Health Organization has been working since 1974 on vaccines to create permanent sterility.”,Instagram posts,"January 27, 2023",false
31,Gabrielle Settles,The Transportation Security Administration spent “a couple hundred million dollars” on gender-neutral screening technology.,Facebook posts,"January 27, 2023",false
32,Ciara O'Rourke,Video shows hecklers shouting profanities at President Joe Biden.,Viral image,"January 26, 2023",false
33,Ciara O'Rourke,“Aretha Franklin’s 1968 song ‘A Natural Woman’ deemed ‘offensive’ by trans community.”,Facebook posts,"January 26, 2023",false
34,Ciara O'Rourke,Video shows Rep. Alexandria Ocasio-Cortez crying after “Ted Cruz gets up and humiliates her to her face.”,Facebook posts,"January 26, 2023",false
35,Jeff Cercone,"In California, there were “10 million mail ballots unaccounted for” in the November midterm election.",Public Interest Legal Foundation,"January 26, 2023",false
36,Tom Kertscher,"People not vaccinated against COVID-19 “came out the best.""",Scott Adams,"January 26, 2023",false
37,Loreben Tuquero,Electrically charged stones discovered in Congo.,Instagram posts,"January 26, 2023",false
